sensor_id,latitude,longitude
1221176,33.5654618,-117.8279899
1221170,33.56898811,-117.8336439
1221163,33.57552796,-117.840248
1221148,33.60582677,-117.8749235
1221143,33.61105955,-117.8829334
1221136,33.61625951,-117.9013066
1221131,33.61606086,-117.9155032
500010011,36.53582475,-121.9128288
500010021,36.54106192,-121.9087397
500010031,36.55464803,-121.9111009
500010041,36.56439042,-121.9126585
500010051,36.57232949,-121.9127868
500010073,36.58252628,-121.8958927
500010093,36.59325484,-121.8766022
500010101,36.59443232,-121.8696667
500010122,36.60002066,-121.8633977
500010133,36.60647275,-121.8609687
500010142,36.611917,-121.855008
500010152,36.62243472,-121.8452056
500011012,36.62820375,-121.8380703
500011021,36.63442536,-121.8322802
500011032,36.64587798,-121.8166454
500011052,36.67582102,-121.8082677
500011063,36.69949591,-121.8030293
500011072,36.72424024,-121.7900336
500011082,36.74529538,-121.7713799
500011092,36.74982552,-121.7676668
500011112,36.77040664,-121.7659891
500011121,36.78024172,-121.7777051
500011131,36.7906154,-121.7834688
500011143,36.7999042,-121.7831175
500011212,36.82889521,-121.7719564
500011222,36.84429405,-121.7710199
500011233,36.8697919,-121.7699869
500011241,36.87697937,-121.7706677
500013012,36.89653485,-121.7750675
500013023,36.903102,-121.7791045
500013031,36.91645395,-121.7887237
500013043,36.9265169,-121.7990501
500013052,36.93375836,-121.8190538
500013062,36.93789547,-121.8318027
500013071,36.95030748,-121.8522808
500013081,36.96000228,-121.8606449
500013091,36.96452525,-121.8674299
500013101,36.9678145,-121.8686295
500013112,36.97253422,-121.8772368
500013122,36.9743907,-121.8854265
500013132,36.97525314,-121.8936614
500013152,36.97995742,-121.9135032
500014021,36.9840508,-121.932446
500014032,36.98405643,-121.9423008
500014053,36.98321692,-121.957823
500014063,36.98286892,-121.9658585
500014072,36.9831451,-121.9709817
500014081,36.9851705,-121.976522
500014092,36.98759794,-121.9870487
500014101,36.98831874,-121.9981552
500014111,36.988441,-122.0084292
500014121,36.98867616,-122.0136404
500014132,36.9890452,-122.0214102
405572,36.98905797,-122.021397
405573,36.98573812,-122.0257139
416144,37.79190168,-122.4696085
1221175,33.5654618,-117.8279899
1221169,33.56899216,-117.8336482
1221162,33.57550344,-117.8401888
1221149,33.60567463,-117.8750334
1221144,33.61088122,-117.8830113
1221137,33.61620802,-117.901303
1221132,33.61612017,-117.9155234
1221127,33.62035744,-117.9234718
500010012,36.53586,-121.91287
500010022,36.54110608,-121.9088199
500010032,36.55466004,-121.9109458
500010042,36.56446794,-121.912061
500010052,36.57243676,-121.9130076
500010072,36.58263145,-121.8959508
500010092,36.59341626,-121.8766766
500010102,36.59469717,-121.8698518
500010121,36.60010285,-121.86363
500010132,36.60641196,-121.8610492
500010143,36.6120054,-121.8552848
500010153,36.62249413,-121.8453971
500011011,36.62820068,-121.8382906
500011022,36.63446996,-121.8326139
500011033,36.64594053,-121.8171018
500011053,36.6757899,-121.808715
500011062,36.6996637,-121.803399
500011073,36.72464516,-121.7902015
500011083,36.74545976,-121.7717178
500011102,36.75172462,-121.7672302
500011113,36.77022662,-121.7650973
500011123,36.780157,-121.7789475
500011133,36.79063236,-121.7831304
500011141,36.7998692,-121.7833664
500011211,36.8289091,-121.7721284
500011221,36.84427585,-121.7710711
500011232,36.86977924,-121.7700702
500011242,36.8769377,-121.7711682
500013013,36.89649578,-121.7759844
500013022,36.90302399,-121.780039
500013032,36.91636572,-121.7879645
500013042,36.92632886,-121.8004852
500013051,36.9335326,-121.8174164
500013061,36.9373934,-121.830405
500013072,36.95000056,-121.851034
500013082,36.95976856,-121.8618256
500013092,36.96435999,-121.8663529
500013102,36.96767212,-121.8698773
500013111,36.97240518,-121.8788121
500013123,36.97421416,-121.8835727
500013131,36.975049,-121.89531
500013151,36.9798134,-121.9149499
500014022,36.98385384,-121.9340504
500014031,36.98390245,-121.9402794
500014052,36.98292024,-121.9592937
500014062,36.98268716,-121.9638306
500014071,36.98303602,-121.9689991
500014082,36.98502332,-121.9780174
500014091,36.98746676,-121.9886144
